Trade_ID,Symbol,Mode,Signal_Date,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,Deploy_₹,Stop_Loss,Target,Trailing_Stop,Exit_Reason,P&L_₹,P&L_%,Outcome,Portfolio_Value_After
525,TVSMOTOR,swing,2025-10-10,2025-10-10,2025-10-17,3478.14,3624.55,1,3478.14,3380.54,3722.15,3348.01,PROFIT_BOOKING_1,146.41,4.21,PARTIAL_WIN,118496.54810546867
526,CUB,swing,2025-09-24,2025-09-24,2025-10-20,158.31,167.73,42,6649.02,152.03,174.02,149.93,PROFIT_BOOKING_1,395.64,5.95,PARTIAL_WIN,125541.20810546867
527,CUB,swing,2025-09-24,2025-09-24,2025-10-23,158.31,174.02,43,6807.33,152.03,174.02,149.93,TARGET,675.53,9.92,WIN,133024.06810546867
528,TATASTEEL,swing,2025-09-09,2025-09-09,2025-10-28,165.73,178.35,41,6794.929999999999,160.69,178.35,159.0,TARGET,517.42,7.61,WIN,126826.42810546867
529,SAIL,swing,2025-09-08,2025-09-08,2025-10-29,131.45,139.17,51,6703.95,126.3,144.32,124.58,PROFIT_BOOKING_1,393.72,5.87,PARTIAL_WIN,133924.09810546867
530,TVSMOTOR,swing,2025-10-10,2025-10-10,2025-11-07,3478.14,3380.54,2,6956.28,3380.54,3722.15,3348.01,SL,-195.2,-2.81,LOSS,114186.87810546867
531,SYRMA,swing,2025-10-29,2025-10-29,2025-11-07,816.95,768.88,16,13071.2,768.88,937.12,752.86,SL,-769.12,-5.88,LOSS,126488.95810546867
532,CGPOWER,swing,2025-11-04,2025-11-04,2025-11-07,745.95,719.21,18,13427.1,719.21,812.81,710.29,SL,-481.32,-3.58,LOSS,139434.73810546868
533,SAIL,swing,2025-09-08,2025-09-08,2025-11-10,131.45,144.32,52,6835.4,126.3,144.32,124.58,TARGET,669.24,9.79,WIN,133605.33810546866
534,LEMONTREE,swing,2025-10-23,2025-10-23,2025-11-11,166.79,160.3,81,13509.99,160.3,183.0,158.14,SL,-525.69,-3.89,LOSS,120708.03810546866
535,SYRMA,swing,2025-11-10,2025-11-10,2025-11-11,808.05,877.5,8,6464.4,761.75,923.8,746.32,PROFIT_BOOKING_1,555.6,8.59,PARTIAL_WIN,127728.03810546866
536,MFSL,swing,2025-11-10,2025-11-10,2025-11-12,1619.1,1699.28,4,6476.4,1565.64,1752.74,1547.83,PROFIT_BOOKING_1,320.72,4.95,PARTIAL_WIN,134525.15810546867
537,HONASA,swing,2025-11-17,2025-11-17,2025-12-03,298.85,282.24,45,13448.250000000002,282.24,340.38,276.7,SL,-747.45,-5.56,LOSS,126652.20810546867
538,SYRMA,swing,2025-11-10,2025-11-10,2025-12-05,808.05,761.75,8,6464.4,761.75,923.8,746.32,SL,-370.4,-5.73,LOSS,132746.20810546866
539,LEMONTREE,swing,2025-12-05,2025-12-05,2025-12-08,164.53,158.49,82,13491.460000000001,158.49,179.62,156.48,SL,-495.28,-3.67,LOSS,132250.92810546866
540,APLAPOLLO,swing,2025-12-17,2025-12-17,2025-12-22,1764.5,1837.86,3,5293.5,1715.6,1886.76,1699.29,PROFIT_BOOKING_1,220.08,4.16,PARTIAL_WIN,111871.29810546867
